temporada,ronda,fecha,dia_comienzo,dia_final,mes,nombre,pais,imagen
2023,ROUND 1,2023-03-03 18:33:50,03,05,Mar,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Bahrain%20carbon.png.transform/2col/image.png
2023,ROUND 2,2023-03-17 18:33:50,17,19,Mar,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Saudi Arabia ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Saudi%20Arabia%20carbon.png.transform/2col/image.png
2023,ROUND 3,2023-03-31 18:33:50,31,02,Mar-Apr,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,Australia ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Australia%20carbon.png.transform/2col/image.png
2023,ROUND 4,2023-04-28 18:33:50,28,30,Apr,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,Azerbaijan ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Azerbaijan%20carbon.png.transform/2col/image.png
2023,ROUND 5,2023-05-05 18:33:50,05,07,May,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,United States ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Miami%20carbon.png.transform/2col/image.png
2023,ROUND 7,2023-05-26 18:33:50,26,28,May,FORMULA 1 GRAND PRIX DE MONACO 2023,Monaco ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Monaco%20carbon.png.transform/2col/image.png
2023,ROUND 8,2023-06-02 18:33:50,02,04,Jun,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,Spain ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Spain%20carbon.png.transform/2col/image.png
2023,ROUND 9,2023-06-16 18:33:50,16,18,Jun,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,Canada ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Canada%20carbon.png.transform/2col/image.png
2023,ROUND 10,2023-06-30 18:33:50,30,02,Jun-Jul,FORMULA 1 GROSSER PREIS VON �STERREICH 2023,Austria ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Austria%20carbon.png.transform/2col/image.png
2023,ROUND 11,2023-07-07 18:33:50,07,09,Jul,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,Great Britain ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Great%20Britain%20carbon.png.transform/2col/image.png
2023,ROUND 12,2023-07-21 18:33:50,21,23,Jul,FORMULA 1 HUNGARIAN GRAND PRIX 2023,Hungary ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Hungary%20carbon.png.transform/2col/image.png
2023,ROUND 13,2023-07-28 18:33:50,28,30,Jul,FORMULA 1 BELGIAN GRAND PRIX 2023,Belgium ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Belgium%20carbon.png.transform/2col/image.png
2023,ROUND 14,2023-08-25 18:33:50,25,27,Aug,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,Netherlands ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Netherlands%20carbon.png.transform/2col/image.png
2023,ROUND 15,2023-09-01 18:33:50,01,03,Sep,FORMULA 1 PIRELLI GRAN PREMIO D'ITALIA 2023 ,Italy ,https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Track%20icons%204x3/Italy%20carbon.png.transform/2col/image.png
